Municipality,IBGE.Code,IBGE.Code6,State,Region,Koppen,Altitude
Palhano,2310001,231000,CE,Nordeste,As,51
Palmácia,2310100,231010,CE,Nordeste,As,351
Paracuru,2310209,231020,CE,Nordeste,As,33
Paraipaba,2310258,231025,CE,Nordeste,As,41
Parambu,2310308,231030,CE,Nordeste,BSh,547
Paramoti,2310407,231040,CE,Nordeste,BSh,164
Pedra Branca,2310506,231050,CE,Nordeste,BSh,524
Penaforte,2310605,231060,CE,Nordeste,BSh,512
Pentecoste,2310704,231070,CE,Nordeste,As,85
Pereiro,2310803,231080,CE,Nordeste,As,521
Pindoretama,2310852,231085,CE,Nordeste,As,34
Piquet Carneiro,2310902,231090,CE,Nordeste,As,304
Pires Ferreira,2310951,231095,CE,Nordeste,As,194
Poranga,2311009,231100,CE,Nordeste,As,452
Porteiras,2311108,231110,CE,Nordeste,As,617
Potengi,2311207,231120,CE,Nordeste,BSh,568
Potiretama,2311231,231123,CE,Nordeste,As,163
Quiterianópolis,2311264,231126,CE,Nordeste,BSh,558
Quixadá,2311306,231130,CE,Nordeste,As,202
Quixelô,2311355,231135,CE,Nordeste,BSh,244
Quixeramobim,2311405,231140,CE,Nordeste,BSh,246
Quixeré,2311504,231150,CE,Nordeste,As,111
Redenção,2311603,231160,CE,Nordeste,As,286
Reriutaba,2311702,231170,CE,Nordeste,As,260
Russas,2311801,231180,CE,Nordeste,As,66
Saboeiro,2311900,231190,CE,Nordeste,BSh,399
Salitre,2311959,231195,CE,Nordeste,BSh,687
Santana do Acaraú,2312007,231200,CE,Nordeste,As,87
Santana do Cariri,2312106,231210,CE,Nordeste,As,774
Santa Quitéria,2312205,231220,CE,Nordeste,BSh,290
São Benedito,2312304,231230,CE,Nordeste,As,776
São Gonçalo do Amarante,2312403,231240,CE,Nordeste,As,42
São João do Jaguaribe,2312502,231250,CE,Nordeste,BSh,72
São Luís do Curu,2312601,231260,CE,Nordeste,As,53
Senador Pompeu,2312700,231270,CE,Nordeste,As,261
Senador Sá,2312809,231280,CE,Nordeste,As,86
Sobral,2312908,231290,CE,Nordeste,As,166
Solonópole,2313005,231300,CE,Nordeste,BSh,202
Tabuleiro do Norte,2313104,231310,CE,Nordeste,BSh,102
Tamboril,2313203,231320,CE,Nordeste,BSh,391
Tarrafas,2313252,231325,CE,Nordeste,As,408
Tauá,2313302,231330,CE,Nordeste,BSh,489
Tejuçuoca,2313351,231335,CE,Nordeste,BSh,189
Tianguá,2313401,231340,CE,Nordeste,As,591
Trairi,2313500,231350,CE,Nordeste,As,43
Tururu,2313559,231355,CE,Nordeste,As,96
Ubajara,2313609,231360,CE,Nordeste,As,615
Umari,2313708,231370,CE,Nordeste,As,305
Umirim,2313757,231375,CE,Nordeste,As,109
Uruburetama,2313807,231380,CE,Nordeste,As,378
Uruoca,2313906,231390,CE,Nordeste,As,90
Varjota,2313955,231395,CE,Nordeste,As,167
Várzea Alegre,2314003,231400,CE,Nordeste,As,369
Viçosa do Ceará,2314102,231410,CE,Nordeste,As,461
Acari,2400109,240010,RN,Nordeste,BSh,339
Açu,2400208,240020,RN,Nordeste,BSh,87
Afonso Bezerra,2400307,240030,RN,Nordeste,BSh,77
Água Nova,2400406,240040,RN,Nordeste,As,304
Alexandria,2400505,240050,RN,Nordeste,As,346
Almino Afonso,2400604,240060,RN,Nordeste,As,293
Alto do Rodrigues,2400703,240070,RN,Nordeste,BSh,39
Angicos,2400802,240080,RN,Nordeste,BSh,124
Antônio Martins,2400901,240090,RN,Nordeste,As,341
Apodi,2401008,240100,RN,Nordeste,As,126
Areia Branca,2401107,240110,RN,Nordeste,BSh,83
Arês,2401206,240120,RN,Nordeste,As,66
Augusto Severo,2401305,240130,RN,Nordeste,BSh,159
Baía Formosa,2401404,240140,RN,Nordeste,As,36
Baraúna,2401453,240145,RN,Nordeste,As,100
Barcelona,2401503,240150,RN,Nordeste,BSh,164
Bento Fernandes,2401602,240160,RN,Nordeste,As,134
Bodó,2401651,240165,RN,Nordeste,BSh,485
Bom Jesus,2401701,240170,RN,Nordeste,As,116
Brejinho,2401800,240180,RN,Nordeste,As,113
Caiçara do Norte,2401859,240185,RN,Nordeste,BSh,34
Caiçara do Rio do Vento,2401909,240190,RN,Nordeste,BSh,232
Caicó,2402006,240200,RN,Nordeste,BSh,229
Campo Redondo,2402105,240210,RN,Nordeste,As,483
Canguaretama,2402204,240220,RN,Nordeste,As,56
Caraúbas,2402303,240230,RN,Nordeste,BSh,127
Carnaúba dos Dantas,2402402,240240,RN,Nordeste,BSh,460
Carnaubais,2402501,240250,RN,Nordeste,BSh,46
Ceará-Mirim,2402600,240260,RN,Nordeste,As,46
Cerro Corá,2402709,240270,RN,Nordeste,BSh,497
Coronel Ezequiel,2402808,240280,RN,Nordeste,As,513
Coronel João Pessoa,2402907,240290,RN,Nordeste,As,517
Cruzeta,2403004,240300,RN,Nordeste,BSh,278
Currais Novos,2403103,240310,RN,Nordeste,BSh,419
Doutor Severiano,2403202,240320,RN,Nordeste,As,509
Parnamirim,2403251,240325,RN,Nordeste,As,42
Encanto,2403301,240330,RN,Nordeste,As,281
Equador,2403400,240340,RN,Nordeste,BSh,527
Espírito Santo,2403509,240350,RN,Nordeste,As,98
Extremoz,2403608,240360,RN,Nordeste,As,28
Felipe Guerra,2403707,240370,RN,Nordeste,BSh,75
Fernando Pedroza,2403756,240375,RN,Nordeste,BSh,220
Florânia,2403806,240380,RN,Nordeste,BSh,346
Francisco Dantas,2403905,240390,RN,Nordeste,As,266
Frutuoso Gomes,2404002,240400,RN,Nordeste,As,287
Galinhos,2404101,240410,RN,Nordeste,BSh,21
Goianinha,2404200,240420,RN,Nordeste,As,67
Governador Dix-Sept Rosado,2404309,240430,RN,Nordeste,BSh,77
Grossos,2404408,240440,RN,Nordeste,BSh,15
Guamaré,2404507,240450,RN,Nordeste,BSh,23
Ielmo Marinho,2404606,240460,RN,Nordeste,As,79
Ipanguaçu,2404705,240470,RN,Nordeste,BSh,43
Ipueira,2404804,240480,RN,Nordeste,BSh,233
Itajá,2404853,240485,RN,Nordeste,BSh,77
Itaú,2404903,240490,RN,Nordeste,As,141
Jaçanã,2405009,240500,RN,Nordeste,As,627
Jandaíra,2405108,240510,RN,Nordeste,BSh,125
Janduís,2405207,240520,RN,Nordeste,BSh,162
Januário Cicco,2405306,240530,RN,Nordeste,As,127
Japi,2405405,240540,RN,Nordeste,BSh,313
Jardim de Angicos,2405504,240550,RN,Nordeste,BSh,162
Jardim de Piranhas,2405603,240560,RN,Nordeste,BSh,142
Jardim do Seridó,2405702,240570,RN,Nordeste,BSh,240
João Câmara,2405801,240580,RN,Nordeste,BSh,168
João Dias,2405900,240590,RN,Nordeste,As,452
José da Penha,2406007,240600,RN,Nordeste,As,317
Jucurutu,2406106,240610,RN,Nordeste,BSh,173
Jundiá,2406155,240615,RN,Nordeste,As,107
Lagoa d'Anta,2406205,240620,RN,Nordeste,As,155
Lagoa de Pedras,2406304,240630,RN,Nordeste,As,101
Lagoa de Velhos,2406403,240640,RN,Nordeste,BSh,147
Lagoa Nova,2406502,240650,RN,Nordeste,BSh,661
Lagoa Salgada,2406601,240660,RN,Nordeste,As,103
Lajes,2406700,240670,RN,Nordeste,BSh,252
Lajes Pintadas,2406809,240680,RN,Nordeste,As,389
Lucrécia,2406908,240690,RN,Nordeste,As,263
Luís Gomes,2407005,240700,RN,Nordeste,As,488
Macaíba,2407104,240710,RN,Nordeste,As,79
Macau,2407203,240720,RN,Nordeste,BSh,28
Major Sales,2407252,240725,RN,Nordeste,As,312
Marcelino Vieira,2407302,240730,RN,Nordeste,As,260
Martins,2407401,240740,RN,Nordeste,As,443
Maxaranguape,2407500,240750,RN,Nordeste,As,29
Messias Targino,2407609,240760,RN,Nordeste,As,180
Montanhas,2407708,240770,RN,Nordeste,As,86
Monte Alegre,2407807,240780,RN,Nordeste,As,86
Monte das Gameleiras,2407906,240790,RN,Nordeste,As,342
Mossoró,2408003,240800,RN,Nordeste,BSh,55
Natal,2408102,240810,RN,Nordeste,As,41
Nísia Floresta,2408201,240820,RN,Nordeste,As,41
Nova Cruz,2408300,240830,RN,Nordeste,As,100
Olho-d'Água do Borges,2408409,240840,RN,Nordeste,As,171
Ouro Branco,2408508,240850,RN,Nordeste,BSh,242
Paraná,2408607,240860,RN,Nordeste,As,342
Paraú,2408706,240870,RN,Nordeste,BSh,110
Parazinho,2408805,240880,RN,Nordeste,BSh,110
Parelhas,2408904,240890,RN,Nordeste,BSh,368
Rio do Fogo,2408953,240895,RN,Nordeste,As,28
Passa e Fica,2409100,240910,RN,Nordeste,As,159
Passagem,2409209,240920,RN,Nordeste,As,79
Patu,2409308,240930,RN,Nordeste,As,237
Santa Maria,2409332,240933,RN,Nordeste,As,104
Pau dos Ferros,2409407,240940,RN,Nordeste,As,222
Pedra Grande,2409506,240950,RN,Nordeste,As,37
Pedra Preta,2409605,240960,RN,Nordeste,BSh,203
Pedro Avelino,2409704,240970,RN,Nordeste,BSh,129
Pedro Velho,2409803,240980,RN,Nordeste,As,81
Pendências,2409902,240990,RN,Nordeste,BSh,34
Pilões,2410009,241000,RN,Nordeste,As,271
Poço Branco,2410108,241010,RN,Nordeste,As,104
Portalegre,2410207,241020,RN,Nordeste,As,534
Porto do Mangue,2410256,241025,RN,Nordeste,BSh,51
Presidente Juscelino,2410306,241030,RN,Nordeste,BSh,158
Pureza,2410405,241040,RN,Nordeste,As,97
Rafael Fernandes,2410504,241050,RN,Nordeste,As,237
Rafael Godeiro,2410603,241060,RN,Nordeste,As,205
Riacho da Cruz,2410702,241070,RN,Nordeste,As,185
Riacho de Santana,2410801,241080,RN,Nordeste,As,354
Riachuelo,2410900,241090,RN,Nordeste,BSh,162
Rodolfo Fernandes,2411007,241100,RN,Nordeste,As,192
Tibau,2411056,241105,RN,Nordeste,As,30
Ruy Barbosa,2411106,241110,RN,Nordeste,BSh,240
Santa Cruz,2411205,241120,RN,Nordeste,BSh,264
Santana do Matos,2411403,241140,RN,Nordeste,BSh,206
Santana do Seridó,2411429,241142,RN,Nordeste,BSh,323
Santo Antônio,2411502,241150,RN,Nordeste,As,105
São Bento do Norte,2411601,241160,RN,Nordeste,BSh,32
São Bento do Trairí,2411700,241170,RN,Nordeste,BSh,307
São Fernando,2411809,241180,RN,Nordeste,BSh,156
São Francisco do Oeste,2411908,241190,RN,Nordeste,As,205
São Gonçalo do Amarante,2412005,241200,RN,Nordeste,As,45
São João do Sabugi,2412104,241210,RN,Nordeste,BSh,215
São José de Mipibu,2412203,241220,RN,Nordeste,As,71
São José do Campestre,2412302,241230,RN,Nordeste,BSh,195
São José do Seridó,2412401,241240,RN,Nordeste,BSh,225
São Miguel,2412500,241250,RN,Nordeste,As,588
São Miguel do Gostoso,2412559,241255,RN,Nordeste,As,50
São Paulo do Potengi,2412609,241260,RN,Nordeste,BSh,113
São Pedro,2412708,241270,RN,Nordeste,As,93
São Rafael,2412807,241280,RN,Nordeste,BSh,86
São Tomé,2412906,241290,RN,Nordeste,BSh,289
São Vicente,2413003,241300,RN,Nordeste,BSh,401
Senador Elói de Souza,2413102,241310,RN,Nordeste,As,135
Senador Georgino Avelino,2413201,241320,RN,Nordeste,As,15
Serra de São Bento,2413300,241330,RN,Nordeste,As,349
Serra do Mel,2413359,241335,RN,Nordeste,BSh,177
Serra Negra do Norte,2413409,241340,RN,Nordeste,BSh,207
Serrinha,2413508,241350,RN,Nordeste,As,117
Serrinha dos Pintos,2413557,241355,RN,Nordeste,As,390
Severiano Melo,2413607,241360,RN,Nordeste,As,178
Sítio Novo,2413706,241370,RN,Nordeste,BSh,250
Taboleiro Grande,2413805,241380,RN,Nordeste,As,198
Taipu,2413904,241390,RN,Nordeste,As,75
Tangará,2414001,241400,RN,Nordeste,BSh,196
Tenente Ananias,2414100,241410,RN,Nordeste,As,358
Tenente Laurentino Cruz,2414159,241415,RN,Nordeste,BSh,588
Tibau do Sul,2414209,241420,RN,Nordeste,As,36
Timbaúba dos Batistas,2414308,241430,RN,Nordeste,BSh,187
Touros,2414407,241440,RN,Nordeste,As,83
Triunfo Potiguar,2414456,241445,RN,Nordeste,BSh,227
Umarizal,2414506,241450,RN,Nordeste,As,193
Upanema,2414605,241460,RN,Nordeste,BSh,93
Várzea,2414704,241470,RN,Nordeste,As,82
Venha-Ver,2414753,241475,RN,Nordeste,As,604
Vera Cruz,2414803,241480,RN,Nordeste,As,102
Viçosa,2414902,241490,RN,Nordeste,As,282
Vila Flor,2415008,241500,RN,Nordeste,As,37
Água Branca,2500106,250010,PB,Nordeste,As,715
Aguiar,2500205,250020,PB,Nordeste,As,378
Alagoa Grande,2500304,250030,PB,Nordeste,As,189
Alagoa Nova,2500403,250040,PB,Nordeste,As,471
Alagoinha,2500502,250050,PB,Nordeste,As,158
Alcantil,2500536,250053,PB,Nordeste,BSh,440
Algodão de Jandaíra,2500577,250057,PB,Nordeste,BSh,493
Alhandra,2500601,250060,PB,Nordeste,Am,62
São João do Rio do Peixe,2500700,250070,PB,Nordeste,As,281
Amparo,2500734,250073,PB,Nordeste,BSh,635
Aparecida,2500775,250077,PB,Nordeste,As,250
Araçagi,2500809,250080,PB,Nordeste,As,91
Arara,2500908,250090,PB,Nordeste,As,467
Araruna,2501005,250100,PB,Nordeste,As,441
Areia,2501104,250110,PB,Nordeste,As,479
Areia de Baraúnas,2501153,250115,PB,Nordeste,BSh,536
Areial,2501203,250120,PB,Nordeste,As,694
Aroeiras,2501302,250130,PB,Nordeste,As,333
Assunção,2501351,250135,PB,Nordeste,BSh,574
Baía da Traição,2501401,250140,PB,Nordeste,Aw,44
Bananeiras,2501500,250150,PB,Nordeste,As,364
Baraúna,2501534,250153,PB,Nordeste,BSh,599
Barra de Santana,2501575,250157,PB,Nordeste,BSh,379
Barra de Santa Rosa,2501609,250160,PB,Nordeste,BSh,506
Barra de São Miguel,2501708,250170,PB,Nordeste,BSh,486
Bayeux,2501807,250180,PB,Nordeste,As,37
Belém,2501906,250190,PB,Nordeste,As,217
Belém do Brejo do Cruz,2502003,250200,PB,Nordeste,As,177
Bernardino Batista,2502052,250205,PB,Nordeste,As,533
Boa Ventura,2502102,250210,PB,Nordeste,As,338
Boa Vista,2502151,250215,PB,Nordeste,BSh,494
Bom Jesus,2502201,250220,PB,Nordeste,As,314
Bom Sucesso,2502300,250230,PB,Nordeste,As,319
Bonito de Santa Fé,2502409,250240,PB,Nordeste,As,634
Boqueirão,2502508,250250,PB,Nordeste,BSh,425
Igaracy,2502607,250260,PB,Nordeste,As,327
Borborema,2502706,250270,PB,Nordeste,As,386
Brejo do Cruz,2502805,250280,PB,Nordeste,As,194
Brejo dos Santos,2502904,250290,PB,Nordeste,As,342
Caaporã,2503001,250300,PB,Nordeste,Am,43
Cabaceiras,2503100,250310,PB,Nordeste,BSh,444
Cabedelo,2503209,250320,PB,Nordeste,As,6
Cachoeira dos índios,2503308,250330,PB,Nordeste,As,371
Cacimba de Areia,2503407,250340,PB,Nordeste,BSh,377
Cacimba de Dentro,2503506,250350,PB,Nordeste,As,467
Cacimbas,2503555,250355,PB,Nordeste,BSh,695
Caiçara,2503605,250360,PB,Nordeste,As,143
Cajazeiras,2503704,250370,PB,Nordeste,As,341
Cajazeirinhas,2503753,250375,PB,Nordeste,As,287
Caldas Brandão,2503803,250380,PB,Nordeste,As,91
Camalaú,2503902,250390,PB,Nordeste,BSh,554
Campina Grande,2504009,250400,PB,Nordeste,As,478
Capim,2504033,250403,PB,Nordeste,As,80
Caraúbas,2504074,250407,PB,Nordeste,BSh,499
Carrapateira,2504108,250410,PB,Nordeste,As,463
Casserengue,2504157,250415,PB,Nordeste,As,452
Catingueira,2504207,250420,PB,Nordeste,As,365
Catolé do Rocha,2504306,250430,PB,Nordeste,As,280
Caturité,2504355,250435,PB,Nordeste,BSh,437
Conceição,2504405,250440,PB,Nordeste,As,517
Condado,2504504,250450,PB,Nordeste,As,270
Conde,2504603,250460,PB,Nordeste,Am,49
Congo,2504702,250470,PB,Nordeste,BSh,516
Coremas,2504801,250480,PB,Nordeste,As,266
Coxixola,2504850,250485,PB,Nordeste,BSh,501
Cruz do Espírito Santo,2504900,250490,PB,Nordeste,As,63
Cubati,2505006,250500,PB,Nordeste,BSh,595
Cuité,2505105,250510,PB,Nordeste,BSh,491
Cuitegi,2505204,250520,PB,Nordeste,As,151
Cuité de Mamanguape,2505238,250523,PB,Nordeste,As,83
Curral de Cima,2505279,250527,PB,Nordeste,As,108
Curral Velho,2505303,250530,PB,Nordeste,As,412
Damião,2505352,250535,PB,Nordeste,BSh,485
Desterro,2505402,250540,PB,Nordeste,BSh,648
Vista Serrana,2505501,250550,PB,Nordeste,BSh,269
Diamante,2505600,250560,PB,Nordeste,As,421
Dona Inês,2505709,250570,PB,Nordeste,As,319
Duas Estradas,2505808,250580,PB,Nordeste,As,122
Emas,2505907,250590,PB,Nordeste,As,294
Esperança,2506004,250600,PB,Nordeste,As,595
Fagundes,2506103,250610,PB,Nordeste,As,333
Frei Martinho,2506202,250620,PB,Nordeste,BSh,432
Gado Bravo,2506251,250625,PB,Nordeste,As,350
Guarabira,2506301,250630,PB,Nordeste,As,104
Gurinhém,2506400,250640,PB,Nordeste,As,130
Gurjão,2506509,250650,PB,Nordeste,BSh,500
Ibiara,2506608,250660,PB,Nordeste,As,420
Imaculada,2506707,250670,PB,Nordeste,As,731
Ingá,2506806,250680,PB,Nordeste,As,228
Itabaiana,2506905,250690,PB,Nordeste,As,121
Itaporanga,2507002,250700,PB,Nordeste,As,370
Itapororoca,2507101,250710,PB,Nordeste,As,83
Itatuba,2507200,250720,PB,Nordeste,As,164
Jacaraú,2507309,250730,PB,Nordeste,As,128
Jericó,2507408,250740,PB,Nordeste,As,260
João Pessoa,2507507,250750,PB,Nordeste,As,31
Juarez Távora,2507606,250760,PB,Nordeste,As,176
Juazeirinho,2507705,250770,PB,Nordeste,BSh,575
Junco do Seridó,2507804,250780,PB,Nordeste,BSh,675
Juripiranga,2507903,250790,PB,Nordeste,As,114
Juru,2508000,250800,PB,Nordeste,As,625
Lagoa,2508109,250810,PB,Nordeste,As,342
Lagoa de Dentro,2508208,250820,PB,Nordeste,As,124
Lagoa Seca,2508307,250830,PB,Nordeste,As,597
Lastro,2508406,250840,PB,Nordeste,As,332
Livramento,2508505,250850,PB,Nordeste,BSh,591
Logradouro,2508554,250855,PB,Nordeste,As,112
Lucena,2508604,250860,PB,Nordeste,Aw,38
Mãe d'Água,2508703,250870,PB,Nordeste,As,589
Malta,2508802,250880,PB,Nordeste,BSh,282
Mamanguape,2508901,250890,PB,Nordeste,As,99
Manaíra,2509008,250900,PB,Nordeste,As,722
Marcação,2509057,250905,PB,Nordeste,Aw,66
Mari,2509107,250910,PB,Nordeste,As,120
Marizópolis,2509156,250915,PB,Nordeste,As,253
Massaranduba,2509206,250920,PB,Nordeste,As,392
Mataraca,2509305,250930,PB,Nordeste,Aw,58
Matinhas,2509339,250933,PB,Nordeste,As,464
Mato Grosso,2509370,250937,PB,Nordeste,As,262
Maturéia,2509396,250939,PB,Nordeste,As,802
Mogeiro,2509404,250940,PB,Nordeste,As,155
Montadas,2509503,250950,PB,Nordeste,As,680
Monte Horebe,2509602,250960,PB,Nordeste,As,686
Monteiro,2509701,250970,PB,Nordeste,BSh,633
Mulungu,2509800,250980,PB,Nordeste,As,107
Natuba,2509909,250990,PB,Nordeste,As,395
Nazarezinho,2510006,251000,PB,Nordeste,As,328
Nova Floresta,2510105,251010,PB,Nordeste,As,621
Nova Olinda,2510204,251020,PB,Nordeste,As,366
Nova Palmeira,2510303,251030,PB,Nordeste,BSh,548
Olho d'Água,2510402,251040,PB,Nordeste,As,351
Olivedos,2510501,251050,PB,Nordeste,BSh,581
Ouro Velho,2510600,251060,PB,Nordeste,BSh,618
Parari,2510659,251065,PB,Nordeste,BSh,498
Passagem,2510709,251070,PB,Nordeste,BSh,417
Patos,2510808,251080,PB,Nordeste,BSh,268
Paulista,2510907,251090,PB,Nordeste,BSh,225
Pedra Branca,2511004,251100,PB,Nordeste,As,357
Pedra Lavrada,2511103,251110,PB,Nordeste,BSh,567
Pedras de Fogo,2511202,251120,PB,Nordeste,As,111
Piancó,2511301,251130,PB,Nordeste,As,293
Picuí,2511400,251140,PB,Nordeste,BSh,531
Pilar,2511509,251150,PB,Nordeste,As,78
Pilões,2511608,251160,PB,Nordeste,As,347
Pilõezinhos,2511707,251170,PB,Nordeste,As,278
Pirpirituba,2511806,251180,PB,Nordeste,As,159
Pitimbu,2511905,251190,PB,Nordeste,Am,33
Pocinhos,2512002,251200,PB,Nordeste,BSh,588
Poço Dantas,2512036,251203,PB,Nordeste,As,581
Poço de José de Moura,2512077,251207,PB,Nordeste,As,290
Pombal,2512101,251210,PB,Nordeste,As,244
Prata,2512200,251220,PB,Nordeste,BSh,611
Princesa Isabel,2512309,251230,PB,Nordeste,As,649
Puxinanã,2512408,251240,PB,Nordeste,As,662
Queimadas,2512507,251250,PB,Nordeste,As,407
Quixabá,2512606,251260,PB,Nordeste,BSh,344
Remígio,2512705,251270,PB,Nordeste,As,542
Pedro Régis,2512721,251272,PB,Nordeste,As,120
Riachão,2512747,251274,PB,Nordeste,As,209
Riachão do Bacamarte,2512754,251275,PB,Nordeste,As,226
Riachão do Poço,2512762,251276,PB,Nordeste,As,85
Riacho de Santo Antônio,2512788,251278,PB,Nordeste,BSh,475
Riacho dos Cavalos,2512804,251280,PB,Nordeste,As,208
Rio Tinto,2512903,251290,PB,Nordeste,As,62
Salgadinho,2513000,251300,PB,Nordeste,BSh,566
Salgado de São Félix,2513109,251310,PB,Nordeste,As,214
Santa Cecília,2513158,251315,PB,Nordeste,As,449
Santa Cruz,2513208,251320,PB,Nordeste,As,364
Santa Helena,2513307,251330,PB,Nordeste,As,290
Santa Inês,2513356,251335,PB,Nordeste,As,570
Santa Luzia,2513406,251340,PB,Nordeste,BSh,435
Santana de Mangueira,2513505,251350,PB,Nordeste,As,494
Santana dos Garrotes,2513604,251360,PB,Nordeste,As,348
Santarém,2513653,251365,PB,Nordeste,As,392
Santa Rita,2513703,251370,PB,Nordeste,As,70
Santa Teresinha,2513802,251380,PB,Nordeste,As,336
Santo André,2513851,251385,PB,Nordeste,BSh,512
São Bento,2513901,251390,PB,Nordeste,BSh,169
São Bentinho,2513927,251392,PB,Nordeste,As,249
São Domingos do Cariri,2513943,251394,PB,Nordeste,BSh,447
São Domingos,2513968,251396,PB,Nordeste,As,221
São Francisco,2513984,251398,PB,Nordeste,As,327
São João do Cariri,2514008,251400,PB,Nordeste,BSh,485
São João do Tigre,2514107,251410,PB,Nordeste,As,719
São José da Lagoa Tapada,2514206,251420,PB,Nordeste,As,300
São José de Caiana,2514305,251430,PB,Nordeste,As,582
São José de Espinharas,2514404,251440,PB,Nordeste,BSh,242
São José dos Ramos,2514453,251445,PB,Nordeste,As,95
São José de Piranhas,2514503,251450,PB,Nordeste,As,437
São José de Princesa,2514552,251455,PB,Nordeste,As,764
São José do Bonfim,2514602,251460,PB,Nordeste,BSh,318
São José do Brejo do Cruz,2514651,251465,PB,Nordeste,As,158
São José do Sabugi,2514701,251470,PB,Nordeste,BSh,417
São José dos Cordeiros,2514800,251480,PB,Nordeste,BSh,588
São Mamede,2514909,251490,PB,Nordeste,BSh,316
São Miguel de Taipu,2515005,251500,PB,Nordeste,As,63
São Sebastião de Lagoa de Roça,2515104,251510,PB,Nordeste,As,599
São Sebastião do Umbuzeiro,2515203,251520,PB,Nordeste,BSh,657
Sapé,2515302,251530,PB,Nordeste,As,93
Seridó,2515401,251540,PB,Nordeste,BSh,574
Serra Branca,2515500,251550,PB,Nordeste,BSh,540
Serra da Raiz,2515609,251560,PB,Nordeste,As,216
Serra Grande,2515708,251570,PB,Nordeste,As,601
Serra Redonda,2515807,251580,PB,Nordeste,As,347
Serraria,2515906,251590,PB,Nordeste,As,418
Sertãozinho,2515930,251593,PB,Nordeste,As,129
Sobrado,2515971,251597,PB,Nordeste,As,76
Solânea,2516003,251600,PB,Nordeste,As,449
Soledade,2516102,251610,PB,Nordeste,BSh,541
Sossêgo,2516151,251615,PB,Nordeste,BSh,558
Sousa,2516201,251620,PB,Nordeste,As,265
Sumé,2516300,251630,PB,Nordeste,BSh,568
Campo de Santana,2516409,251640,PB,Nordeste,As,140
Taperoá,2516508,251650,PB,Nordeste,BSh,563
Tavares,2516607,251660,PB,Nordeste,As,658
Teixeira,2516706,251670,PB,Nordeste,BSh,731
Tenório,2516755,251675,PB,Nordeste,BSh,592
Triunfo,2516805,251680,PB,Nordeste,As,316
Uiraúna,2516904,251690,PB,Nordeste,As,374
Umbuzeiro,2517001,251700,PB,Nordeste,As,426
Várzea,2517100,251710,PB,Nordeste,BSh,287
Vieirópolis,2517209,251720,PB,Nordeste,As,348
Zabelê,2517407,251740,PB,Nordeste,BSh,649
Abreu e Lima,2600054,260005,PE,Nordeste,As,109
Afogados da Ingazeira,2600104,260010,PE,Nordeste,BSh,587
Afrânio,2600203,260020,PE,Nordeste,BSh,521
Agrestina,2600302,260030,PE,Nordeste,As,458
Água Preta,2600401,260040,PE,Nordeste,Am,132
Águas Belas,2600500,260050,PE,Nordeste,As,432
Alagoinha,2600609,260060,PE,Nordeste,As,717
Aliança,2600708,260070,PE,Nordeste,As,94
Altinho,2600807,260080,PE,Nordeste,As,530
Amaraji,2600906,260090,PE,Nordeste,Am,386
Angelim,2601003,260100,PE,Nordeste,As,655
Araçoiaba,2601052,260105,PE,Nordeste,As,110
Araripina,2601102,260110,PE,Nordeste,BSh,688
Arcoverde,2601201,260120,PE,Nordeste,As,794
Barra de Guabiraba,2601300,260130,PE,Nordeste,As,544
Barreiros,2601409,260140,PE,Nordeste,Am,70
Belém de Maria,2601508,260150,PE,Nordeste,As,323
Belém de São Francisco,2601607,260160,PE,Nordeste,BSh,362
Belo Jardim,2601706,260170,PE,Nordeste,As,727
Betânia,2601805,260180,PE,Nordeste,BSh,499
Bezerros,2601904,260190,PE,Nordeste,As,553
Bodocó,2602001,260200,PE,Nordeste,As,627
Bom Conselho,2602100,260210,PE,Nordeste,As,561
Bom Jardim,2602209,260220,PE,Nordeste,As,338
Bonito,2602308,260230,PE,Nordeste,As,488
Brejão,2602407,260240,PE,Nordeste,As,705
Brejinho,2602506,260250,PE,Nordeste,BSh,790
Brejo da Madre de Deus,2602605,260260,PE,Nordeste,BSh,556
Buenos Aires,2602704,260270,PE,Nordeste,As,166
Buíque,2602803,260280,PE,Nordeste,As,616
Cabo de Santo Agostinho,2602902,260290,PE,Nordeste,As,82
Cabrobó,2603009,260300,PE,Nordeste,BSh,382
Cachoeirinha,2603108,260310,PE,Nordeste,As,572
Caetés,2603207,260320,PE,Nordeste,As,814
Calçado,2603306,260330,PE,Nordeste,As,683
Calumbi,2603405,260340,PE,Nordeste,BSh,533
Camaragibe,2603454,260345,PE,Nordeste,As,84
Camocim de São Félix,2603504,260350,PE,Nordeste,As,672
Camutanga,2603603,260360,PE,Nordeste,As,213
Canhotinho,2603702,260370,PE,Nordeste,As,572
Capoeiras,2603801,260380,PE,Nordeste,As,834
Carnaíba,2603900,260390,PE,Nordeste,BSh,610
Carnaubeira da Penha,2603926,260392,PE,Nordeste,BSh,475
Carpina,2604007,260400,PE,Nordeste,As,134
Caruaru,2604106,260410,PE,Nordeste,BSh,539
Casinhas,2604155,260415,PE,Nordeste,As,436
Catende,2604205,260420,PE,Nordeste,As,256
Cedro,2604304,260430,PE,Nordeste,BSh,523
Chã de Alegria,2604403,260440,PE,Nordeste,As,136
Chã Grande,2604502,260450,PE,Nordeste,As,466
Condado,2604601,260460,PE,Nordeste,As,79
Correntes,2604700,260470,PE,Nordeste,As,536
Cortês,2604809,260480,PE,Nordeste,Am,409
